[[1, 2], [3, 14], [4, 8], [5, 11], [6, 7], [9, 29], [10, 31], [11, 7], [12, 18], [13, 5], [14, 20], [15, 21], [16, 23], [17, 6], [18, 22], [19, 23], [24, 30], [25, 24], [26, 27], [27, 30], [28, 34], [29, 10], [32, 34], [33, 32]]

CCC para cada nodo:
Nodo 1: CCC = 1.1958051
Nodo 2: CCC = 1.1499787
Nodo 3: CCC = 1.4982044
Nodo 4: CCC = 1.0247177
Nodo 5: CCC = 0.8415438
Nodo 6: CCC = 0.7664233
Nodo 7: CCC = 0.7732059
Nodo 8: CCC = 1.0174795
Nodo 9: CCC = 1.9163175
Nodo 10: CCC = 1.6426682
Nodo 11: CCC = 0.7859402
Nodo 12: CCC = 0.9507288
Nodo 13: CCC = 0.8367022
Nodo 14: CCC = 1.4763772
Nodo 15: CCC = 0.9169061
Nodo 16: CCC = 0.9287952
Nodo 17: CCC = 0.5472834
Nodo 18: CCC = 0.9356181
Nodo 19: CCC = 0.9353069
Nodo 20: CCC = 1.4690098
Nodo 21: CCC = 0.9063311
Nodo 22: CCC = 0.92791
Nodo 23: CCC = 0.9307557
Nodo 24: CCC = 0.8471462
Nodo 25: CCC = 0.8705317
Nodo 26: CCC = 0.7846461
Nodo 27: CCC = 0.7862534
Nodo 28: CCC = 1.2424632
Nodo 29: CCC = 1.7487414
Nodo 30: CCC = 0.8123272
Nodo 31: CCC = 1.5750782
Nodo 32: CCC = 1.1430901
Nodo 33: CCC = 1.1046472
Nodo 34: CCC = 1.1718419

CCC ordenado por valor:
Nodo 9: CCC = 1.9163175
Nodo 29: CCC = 1.7487414
Nodo 10: CCC = 1.6426682
Nodo 31: CCC = 1.5750782
Nodo 3: CCC = 1.4982044
Nodo 14: CCC = 1.4763772
Nodo 20: CCC = 1.4690098
Nodo 28: CCC = 1.2424632
Nodo 1: CCC = 1.1958051
Nodo 34: CCC = 1.1718419
Nodo 2: CCC = 1.1499787
Nodo 32: CCC = 1.1430901
Nodo 33: CCC = 1.1046472
Nodo 4: CCC = 1.0247177
Nodo 8: CCC = 1.0174795
Nodo 12: CCC = 0.9507288
Nodo 18: CCC = 0.9356181
Nodo 19: CCC = 0.9353069
Nodo 23: CCC = 0.9307557
Nodo 16: CCC = 0.9287952
Nodo 22: CCC = 0.92791
Nodo 15: CCC = 0.9169061
Nodo 21: CCC = 0.9063311
Nodo 25: CCC = 0.8705317
Nodo 24: CCC = 0.8471462
Nodo 5: CCC = 0.8415438
Nodo 13: CCC = 0.8367022
Nodo 30: CCC = 0.8123272
Nodo 27: CCC = 0.7862534
Nodo 11: CCC = 0.7859402
Nodo 26: CCC = 0.7846461
Nodo 7: CCC = 0.7732059
Nodo 6: CCC = 0.7664233
Nodo 17: CCC = 0.5472834
